Date,Open,High,Low,Close,Adj Close,Volume
2012-01-24,87.080002,87.220001,86.660004,87.180000,71.669609,12363800
2012-01-25,86.769997,87.379997,85.809998,87.220001,71.702477,18202300
2012-01-26,87.639999,87.709999,86.510002,86.769997,71.332527,15658200
2012-01-27,86.239998,86.500000,85.769997,85.830002,70.559776,15976700
2012-01-30,85.269997,85.500000,84.589996,85.489998,70.280258,17867000
2012-01-31,84.919998,85.339996,83.459999,83.739998,68.841614,27225800
2012-02-01,84.230003,84.559998,83.379997,83.970001,69.030685,22266100
2012-02-02,84.279999,84.339996,83.190002,83.529999,68.668976,18020500
2012-02-03,84.239998,85.000000,84.050003,84.919998,69.811707,16145400
2012-02-06,84.870003,85.849998,84.489998,85.750000,70.494019,15000900
2012-02-07,85.220001,86.440002,84.940002,86.339996,70.979034,15818400
2012-02-08,85.830002,86.220001,84.730003,85.320000,70.524422,14762600
2012-02-09,85.330002,85.690002,84.669998,84.879997,70.160713,17073400
2012-02-10,84.019997,84.099998,83.349998,83.800003,69.268013,15328900
2012-02-13,84.339996,84.599998,83.889999,84.419998,69.780479,11473700
2012-02-14,84.419998,84.709999,83.849998,84.669998,69.987129,12961900
2012-02-15,84.860001,84.919998,83.910004,84.120003,69.532501,13911600
2012-02-16,84.449997,85.620003,84.080002,85.410004,70.598824,14769600
2012-02-17,86.070000,86.120003,84.919998,85.620003,70.772392,16597200
2012-02-21,86.040001,86.779999,86.040001,86.570000,71.557655,15481300
2012-02-22,86.839996,87.250000,86.650002,86.919998,71.846962,11983200
2012-02-23,86.580002,87.169998,86.470001,87.019997,71.929596,12404600
2012-02-24,87.370003,87.470001,87.010002,87.339996,72.194130,10767100
2012-02-27,87.150002,87.830002,86.779999,87.230003,72.103203,13323500
2012-02-28,87.230003,87.440002,86.550003,87.139999,72.028809,14317600
2012-02-29,87.449997,87.489998,86.209999,86.500000,71.499779,18293200
2012-03-01,86.470001,87.180000,86.410004,86.830002,71.772552,12638500
2012-03-02,86.660004,86.750000,85.849998,86.330002,71.359268,11343400
2012-03-05,86.169998,87.089996,85.910004,87.010002,71.921349,12803100
2012-03-06,86.239998,86.480003,85.419998,85.860001,70.970772,16507900
2012-03-07,86.010002,86.120003,85.190002,85.830002,70.945953,14767700
2012-03-08,85.000000,85.470001,84.629997,84.830002,70.119370,19032000
2012-03-09,85.059998,85.129997,84.050003,84.300003,69.681297,17042500
2012-03-12,84.500000,85.750000,84.129997,85.550003,70.714539,19014000
2012-03-13,85.889999,86.930000,85.610001,86.860001,71.797363,16853300
2012-03-14,86.589996,86.830002,85.739998,86.019997,71.103027,16187300
2012-03-15,85.889999,86.199997,85.250000,86.089996,71.160881,14523600
2012-03-16,86.199997,86.889999,85.919998,86.440002,71.450195,30991300
2012-03-19,86.080002,87.180000,86.029999,86.989998,71.904800,10770400
2012-03-20,86.459999,87.099998,86.320000,86.599998,71.582443,13613800
2012-03-21,86.589996,86.589996,85.769997,86.010002,71.094757,14212400
2012-03-22,85.480003,85.940002,85.099998,85.330002,70.532684,13884400
